match_id,home,away,label,market_source,mkt_p_A,mkt_p_D,mkt_p_H,elo_oof_A,elo_oof_D,elo_oof_H,mkt64_oof_A,mkt64_oof_D,mkt64_oof_H,blendA_oof_A,blendA_oof_D,blendA_oof_H
12,Sweden,Tunisia,H,polymarket,0.215,0.285,0.505,0.07894999727013259,0.344466116863657,0.5765838858662103,0.21500000000000002,0.28500000000000003,0.505,0.11672774017712204,0.33862286542416664,0.5446493943987113
13,Spain,Cabo Verde,D,p_model,0.0769,0.1769,0.7461,0.0020583225461342975,0.23508826260732615,0.7628534148465397,0.07689999999999998,0.17690000000000003,0.7461000000000001,0.023101521199344076,0.27228947156640704,0.7046090072342488
14,Belgium,Egypt,D,polymarket,0.175,0.245,0.585,0.029643606330749327,0.343053424113016,0.6273029695562349,0.17500000000000002,0.24500000000000005,0.585,0.07573866264740695,0.3376841056972927,0.5865772316553004
15,Saudi Arabia,Uruguay,D,polymarket,0.685,0.215,0.115,0.8299067516166996,0.07746731294134321,0.09262593544195703,0.6850000000000002,0.21500000000000002,0.11500000000000002,0.6864606629953363,0.13424928437061287,0.17929005263405096
16,IR Iran,New Zealand,D,polymarket,0.205,0.285,0.515,0.011559307098371857,0.325713849296024,0.6627268436056042,0.20500000000000002,0.28500000000000003,0.5149999999999999,0.07098062477397964,0.331334191179215,0.5976851840468054
17,France,Senegal,H,polymarket,0.125,0.215,0.665,0.021090510605035244,0.3297540591278437,0.649155430267121,0.125,0.21500000000000002,0.665,0.05580843320346114,0.3218659897664857,0.6223255770300533
18,Iraq,Norway,A,polymarket,0.805,0.135,0.065,0.43936099401234924,0.24083836696181193,0.3198006390258389,0.8049999999999999,0.135,0.06499999999999999,0.6885337035547467,0.13459351534078567,0.17687278110446758
19,Argentina,Algeria,H,polymarket,0.105,0.205,0.695,0.005464552189956383,0.320751143940382,0.6737843038696616,0.10500000000000001,0.20500000000000002,0.6950000000000001,0.03577299247278366,0.3278430872803083,0.636383920246908
20,Austria,Jordan,H,polymarket,0.095,0.165,0.735,0.02373314366923497,0.3511730425064922,0.6250938138242729,0.09499999999999999,0.165,0.7350000000000001,0.04669783286684152,0.3193177657047742,0.6339844014283842
21,Portugal,Congo DR,D,polymarket,0.075,0.165,0.765,0.008011972251546675,0.3213153633033007,0.6706726644451526,0.07499999999999998,0.165,0.7649999999999999,0.03057144467202816,0.30626290185180216,0.6631656534761696
